# {"t_start": 1548094951.3010783, "env_id": "guidance-collision-avoidance-single-continuous-action-v0"} 
r,l,t
-36.483789,92,1.212816
-30.443295,53,1.529008
-55.719373,80,1.729472
-142.176933,313,2.407566
-45.356083,136,2.662436
-8.805308,60,2.851446
-39.331398,139,3.099782
-15.008764,64,3.293265
-485.547918,850,5.160167
-24.579293,49,5.351943
-287.642259,865,7.457517
-430.275586,756,9.359791
-1044.454843,2452,15.844072
-28.603783,51,15.888943
-13.853464,49,16.198142
-30.154598,50,16.295882
-19.228018,50,16.518286
-15.507172,49,16.566159
-23.844732,47,16.835441
-30.774524,64,16.900267
-18.998025,48,17.10572
-13.800496,55,17.171544
-13.942155,57,17.4877
-193.983964,615,19.026681
-10.878318,51,19.088516
-1.326636,53,19.357307
-31.019246,57,19.63357
-15.518847,49,19.708369
-274.402861,871,21.854568
-363.560669,835,23.722796
-22.78232,49,23.901318
-12.614986,59,23.952182
-7.126235,50,24.129709
-28.265987,49,24.177583
-25.619627,50,24.358099
-27.384502,52,24.408963
-10.252862,53,24.590083
-24.522103,50,24.635962
-25.890374,47,24.818936
-36.483489,56,24.87081
-20.785996,50,25.04238
-25.751879,52,25.089278
-35.694088,51,25.273774
-32.162359,52,25.321646
-15.168289,54,25.501167
-33.241233,64,25.561007
-29.784659,52,25.742522
-30.984081,53,25.920049
-21.844341,58,25.97191
-46.469173,62,26.185351
-10.513702,50,26.234223
-18.304634,51,26.420774
-10.298741,59,26.473642
-5.208795,53,26.657165
-17.784524,51,26.705035
-32.621147,50,26.892357
-17.63814,50,26.937238
-7.205046,59,27.139699
-47.122772,82,27.366632
-35.360138,48,27.412507
-16.752418,47,27.610962
-6.98717,52,27.662825
-27.244689,48,27.846527
-11.873679,48,27.892409
-27.368629,49,28.073925
-20.811282,49,28.116823
-17.577232,51,28.31325
-30.016211,53,28.366104
-24.26218,51,28.570502
-9.942214,46,28.615384
-28.100023,52,28.860497
-41.985529,55,28.936295
-28.501914,50,29.157639
-15.41102,53,29.206508
-18.825897,57,29.428916
-30.574354,50,29.476788
-19.518807,47,29.665284
-32.607539,47,29.710165
-39.389783,56,29.916123
-20.876007,50,29.963996
-19.764636,50,30.15748
-13.182877,56,30.210747
-33.992453,55,30.412224
-21.950484,47,30.459099
-41.482624,56,30.663554
-24.817798,63,30.86302
-30.169742,49,30.905906
-14.542116,53,31.121332
-85.81968,131,31.401095
-17.033657,49,31.44897
-3.266507,49,31.645443
-30.524905,51,31.69531
-18.010766,47,31.89563
-25.392291,50,31.940026
-14.107457,50,32.118048
-29.782187,52,32.166919
-20.063024,48,32.412264
-28.071167,49,32.495043
-69.935748,256,33.352773
-9.740084,51,33.430076
-17.816688,50,33.666445
-67.944148,426,34.6051
-12.79492,77,34.81654
-39.630109,67,35.020015
-15.286609,48,35.061903
-0.03924,26,35.086838
-34.227841,96,35.324221
-178.748072,463,36.516756
-15.447106,51,36.708244
-32.733382,115,36.972552
-5.850548,47,37.014931
-14.074037,50,37.205929
-36.338113,88,37.438329
-33.535211,49,37.484207
-24.080712,51,37.681679
-117.295514,190,38.005326
-112.580148,170,38.459954
-6.185914,59,38.661714
-17.697129,78,38.733527
-96.352791,267,39.407005
-22.357944,56,39.61951
-21.834169,60,39.678352
-37.264123,70,39.888305
-37.147097,50,40.057852
-30.092768,51,40.103735
-35.247622,52,40.308182
-19.250481,50,40.356054
-83.198422,123,40.613373
-91.028101,170,41.090161
-30.749152,49,41.133048
-17.141118,54,41.33052
-21.835455,47,41.37925
-17.856381,48,41.570248
-36.046072,54,41.770221
-30.148061,50,41.820087
-33.855832,77,42.030525
-25.982283,51,42.076403
-11.315018,122,42.48574
-20.34726,50,42.533612
-30.695726,47,42.579489
-23.894125,49,42.776964
-29.133932,47,42.820847
-21.480315,51,43.00748
-110.740897,163,43.446322
-28.036743,63,43.507159
-30.576894,57,43.71261
-20.758038,57,43.778436
-30.044729,49,43.961965
-12.037108,50,44.009837
-26.996046,49,44.205293
-348.553498,533,45.441049
-33.371317,54,45.626785
-29.814553,56,45.67766
-22.455101,59,45.894471
-27.241287,49,45.937357
-30.506105,48,46.12411
-40.575533,51,46.182128
-24.039955,48,46.383811
-25.731884,52,46.431681
-28.693677,51,46.617538
-29.145118,47,46.66381
-30.397332,103,46.904946
-21.708061,49,47.094945
-11.427931,48,47.139826
-41.721726,64,47.351261
-16.305812,50,47.397139
-49.3534,93,47.644479
-20.455633,52,47.839957
-20.237584,57,47.898801
-49.423139,76,48.094278
-31.337017,52,48.28477
-23.310541,50,48.334637
-30.664619,56,48.534104
-4.917407,50,48.578985
-83.789483,137,49.009345
-20.418007,50,49.05622
-39.196982,54,49.265661
-6.958103,58,49.329495
-39.315701,58,49.548423
-30.938993,52,49.599285
-7.77186,49,49.789777
-13.475704,61,49.847623
-29.273518,48,50.039113
-29.535955,53,50.227607
-26.395347,50,50.274482
-29.780787,52,50.462014
-3.792599,48,50.504899
-26.98302,50,50.725312
-40.384599,115,50.965562
0.870866,7,50.972546
-13.061487,47,51.013451
-37.933586,53,51.202956
-25.617187,47,51.252823
-16.982012,58,51.4503
-22.078482,52,51.500172
-5.47985,49,51.685981
-4.700624,48,51.731859
-4.394982,53,51.91844
-20.239611,50,51.963324
-22.74806,53,52.164809
-35.713169,62,52.224649
-12.242025,59,52.426111
-19.30519,53,52.623584
-15.034221,54,52.675446
-56.683305,117,52.92634
-28.776693,51,53.104726
-27.535579,55,53.155591
-14.297275,53,53.348084
-55.513685,72,53.551539
-25.811539,97,53.775951
-9.802112,49,53.823824
-14.884054,47,53.994874
-112.900807,342,54.711883
-35.998006,67,54.914348
-31.693403,47,54.955238
-26.929762,51,55.139746
-107.087138,144,55.443065
-22.522558,53,55.641544
-47.235651,77,55.713353
-26.685693,48,55.903846
-31.071867,51,55.948742
-50.29347,72,56.165197
-38.435191,54,56.359677
-68.931159,96,56.584588
-12.169403,46,56.625479
-23.776321,49,56.671356
-6.293699,48,56.855861
-20.301676,47,56.898747
-14.350549,48,57.07827
-8.084011,91,57.311648
-44.918093,72,57.51511
-11.497476,49,57.562988
-25.422666,53,57.751768
-67.05412,183,58.053996
-20.947814,49,58.243352
-9.552705,48,58.287237
-24.736182,59,58.480605
-12.169082,50,58.525486
-6.465562,50,58.713464
-14.359532,50,58.759341
-8.276956,59,58.951962
-22.042427,48,59.141457
-13.183496,50,59.190326
-13.60506,48,59.383811
-27.665508,56,59.440658
-37.479581,74,59.656103
-33.623521,85,59.883496
-14.093838,48,59.928376
-9.770662,52,60.150781
-27.835177,53,60.205636
-28.766345,50,60.387151
-26.351522,51,60.437018
-22.173603,49,60.624518
