obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,0.9999999403953552,0.18840904705084133,-5.979851722717285,0.33741360902786255,-0.00033473968505859375,0.9907892346382141,-5.895163059234619,0.34031641483306885,-0.062401339411735535,0.3860856592655182,-3.138669490814209,0.06214355304837227,0.7889470458030701,1551.0,1.0,-975.7051391601562,-975.7051391601562,4.88603138923645,1.0,1,2000,409.3301578876152,5.856554985046387,0.010711632668972015,0.011198680847883224
0.0,0.9999999403953552,0.19219606889656324,-8.479082107543945,1.1035757064819336,-0.00010314583778381348,0.9995883703231812,-8.188326835632324,1.017691969871521,0.03435558080673218,0.7763774991035461,-4.825744152069092,0.08441835641860962,0.7075778245925903,1462.0,2.0,-670.103759765625,-670.103759765625,10.146042585372925,2.0,2,4000,394.24238232220836,7.606229305267334,0.024318968877196312,0.77556973695755
0.0,0.9999999403953552,0.2209244250822409,-10.623395919799805,1.8801112174987793,5.728006362915039e-05,0.9998139142990112,-10.481534957885742,1.8820772171020508,0.04789036512374878,0.9510406851768494,-6.183971405029297,0.024432215839624405,0.7808204889297485,1499.5,4.0,-715.1927490234375,-715.1927490234375,14.959677457809448,4.0,3,6000,401.0781660849112,10.064461708068848,0.05516159161925316,0.17890042066574097
0.0,0.9999999403953552,0.2345157289847397,-13.534578323364258,2.7719364166259766,0.986847996711731,0.012673720717430115,-13.441292762756348,2.7446038722991943,0.871347963809967,0.1741662472486496,-7.548101902008057,0.13473400473594666,0.8038505911827087,1103.4285714285713,7.0,-550.0798950195312,-550.0798950195312,19.496282815933228,7.0,4,8000,410.3346302230518,13.041781425476074,0.24974147975444794,0.026847537606954575
0.0,0.9999999403953552,0.2,-15.848711013793945,3.1349704265594482,0.5340766310691833,0.7657259106636047,-15.710287094116211,3.0971524715423584,0.8454580307006836,0.33014893531799316,-8.888972282409668,0.19899900257587433,0.8068847060203552,831.75,12.0,-406.5792236328125,-406.5792236328125,23.723337650299072,12.0,5,10000,421.52584713871124,15.208715438842773,0.23165512084960938,0.6844774484634399
0.0,0.9999999403953552,0.1639088940674591,-17.793235778808594,3.3368654251098633,0.5060896277427673,0.8102887868881226,-17.643728256225586,3.2893898487091064,0.14002907276153564,0.8940510749816895,-9.968283653259277,0.23188309371471405,0.8008568286895752,774.7142857142857,14.0,-379.402099609375,-379.402099609375,28.05858564376831,14.0,6,12000,427.6765818616787,17.0290584564209,0.3139297366142273,0.5934260487556458
0.0,0.9999999403953552,0.13433062777208762,-19.803028106689453,3.095670700073242,0.735191822052002,0.576977550983429,-19.701313018798828,3.0174026489257812,0.8969296813011169,0.22398358583450317,-11.125216484069824,0.29020053148269653,0.792798638343811,753.2777777777778,18.0,-388.3273010253906,-388.3273010253906,32.77105784416199,18.0,7,14000,427.2062277200501,19.15361213684082,0.385326623916626,0.4102504253387451
0.0,0.9999999403953552,0.11008992318755192,-21.711990356445312,3.3549680709838867,0.18364742398262024,0.8850428462028503,-21.508453369140625,3.3851370811462402,-0.09530574828386307,0.8501496315002441,-12.115821838378906,0.34184741973876953,0.7752839922904968,747.1428571428571,21.0,-395.88287353515625,-395.88287353515625,37.43054556846619,21.0,8,16000,427.4583700826256,20.972393035888672,0.8041637539863586,0.7665959000587463
0.0,0.9999999403953552,0.09022358778821578,-22.592483520507812,3.98294734954834,0.1867089420557022,0.8917919397354126,-22.39345932006836,3.9438393115997314,0.2090342789888382,0.833017885684967,-13.235224723815918,0.3387053906917572,0.7751833200454712,776.8695652173913,23.0,-408.3036193847656,-408.3036193847656,41.98074817657471,23.0,9,18000,428.7679658373505,22.496362686157227,0.8476834297180176,0.606805682182312
0.0,0.9999999403953552,0.07394224246582377,-24.209503173828125,3.98398756980896,0.04908432066440582,0.9239346385002136,-23.983306884765625,3.9268460273742676,-0.16728107631206512,0.9044811129570007,-14.154436111450195,0.319073349237442,0.7815453410148621,750.1538461538462,26.0,-393.2420349121094,-393.2420349121094,46.65668511390686,26.0,10,20000,428.6631155036482,24.026704788208008,0.8862585425376892,0.4947670102119446
